property_type,region,area_m2,price_usd,lat,lon,state
apartment,Northeast,75.0,177931.09,-12.964468,-38.417938,Bahia
apartment,Northeast,75.0,107713.59,-12.973443,-38.431145,Bahia
apartment,Northeast,243.0,470485.55,-12.941992,-38.403465,Bahia
house,Northeast,99.0,87374.39,-12.385784,-41.320999,Bahia
apartment,Northeast,68.0,137302.62,-12.985207,-38.456074,Bahia
apartment,Northeast,66.0,122436.49,-12.973443,-38.431145,Bahia
apartment,Northeast,63.0,121127.12,-12.973443,-38.431145,Bahia
apartment,Northeast,90.0,204926.35,-12.985207,-38.456074,Bahia
apartment,Northeast,76.0,140423.14,-12.941992,-38.403465,Bahia
apartment,Northeast,83.0,153352.36,-12.937969,-38.381538,Bahia
apartment,Northeast,76.0,99856.45,-12.974552,-38.496819,Bahia
house,Northeast,70.0,78012.85,-12.852844,-38.32711,Bahia
apartment,Northeast,67.0,137674.59,-12.991246,-38.492966,Bahia
apartment,Northeast,56.0,99683.89,-12.957254,-38.429649,Bahia
apartment,Northeast,83.0,221393.62,-12.957254,-38.429649,Bahia
apartment,Northeast,83.0,206020.72,-12.957254,-38.429649,Bahia
apartment,Northeast,90.0,292482.05,-13.004092,-38.5047,Bahia
apartment,Northeast,89.0,149507.27,-13.000443,-38.45739,Bahia
apartment,Northeast,70.0,164886.72,-12.98223,-38.43898,Bahia
apartment,Northeast,61.0,121700.05,-12.98223,-38.43898,Bahia
apartment,Northeast,122.0,187230.85,-13.009679,-38.486305,Bahia
apartment,Northeast,80.0,132517.0,-12.949672,-38.409973,Bahia
apartment,Northeast,240.0,343256.56,-13.004092,-38.5047,Bahia
apartment,Northeast,106.0,171628.28,-13.000443,-38.45739,Bahia
apartment,Northeast,132.0,348481.86,-13.000164,-38.489021,Bahia
apartment,Northeast,133.0,267153.15,-12.984901,-38.439594,Bahia
apartment,Northeast,76.0,165948.63,-12.994164,-38.518372,Bahia
apartment,Northeast,76.0,173566.12,-12.994164,-38.518372,Bahia
apartment,Northeast,100.0,81133.37,-12.992462,-38.444553,Bahia
apartment,Northeast,66.0,131061.59,-13.004092,-38.5047,Bahia
apartment,Northeast,93.0,109217.99,-12.981397,-38.441444,Bahia
house,Northeast,120.0,81133.37,-12.7732,-38.789162,Bahia
apartment,Northeast,110.0,112338.51,-12.993305,-38.45739,Bahia
house,Northeast,151.0,118579.54,-12.852844,-38.32711,Bahia
apartment,Northeast,85.0,90494.91,-12.938337,-38.362667,Bahia
apartment,Northeast,115.0,152905.19,-13.000443,-38.45739,Bahia
apartment,Northeast,58.0,109217.99,-13.001169,-38.49419,Bahia
apartment,Northeast,191.0,207514.19,-13.000443,-38.45739,Bahia
apartment,Northeast,170.0,202833.42,-12.958966,-38.405651,Bahia
apartment,Northeast,67.0,215647.81,-12.9349962,-38.3576186,Bahia
apartment,Northeast,185.0,138862.88,-12.998506,-38.52309,Bahia
apartment,Northeast,56.0,81133.37,-13.004878,-38.532276,Bahia
apartment,Northeast,95.0,109217.99,-13.004878,-38.532276,Bahia
apartment,Northeast,120.0,112338.51,-12.996323,-38.481049,Bahia
apartment,Northeast,110.0,112338.51,-12.985207,-38.456074,Bahia
apartment,Northeast,110.0,118579.54,-12.985207,-38.456074,Bahia
apartment,Northeast,114.0,241839.85,-13.002217,-38.516796,Bahia
apartment,Northeast,98.0,155713.66,-13.002217,-38.516796,Bahia
apartment,Northeast,83.0,134119.7,-13.000443,-38.45739,Bahia
apartment,Northeast,102.0,190507.39,-13.007612,-38.49474,Bahia
apartment,Northeast,63.0,196592.39,-13.004092,-38.5047,Bahia
apartment,Northeast,80.0,99856.45,-12.993305,-38.45739,Bahia
apartment,Northeast,120.0,84253.88,-12.992462,-38.444553,Bahia
apartment,Northeast,115.0,115459.02,-12.992462,-38.444553,Bahia
apartment,Northeast,80.0,107657.74,-12.993305,-38.45739,Bahia
apartment,Northeast,80.0,92991.32,-12.974552,-38.496819,Bahia
apartment,Northeast,70.0,87374.39,-12.974552,-38.496819,Bahia
apartment,Northeast,143.0,202833.42,-12.9857,-38.519516,Bahia
house,Northeast,140.0,106097.48,-12.920561,-38.318233,Bahia
house,Northeast,197.0,148224.42,-12.12635,-38.40873,Bahia
apartment,Northeast,114.0,152905.19,-12.991933,-38.465279,Bahia
apartment,Northeast,95.0,101416.71,-13.007857,-38.498463,Bahia
apartment,Northeast,90.0,109217.99,-13.010818,-38.48336,Bahia
apartment,Northeast,152.0,327653.99,-13.000164,-38.489021,Bahia
house,Northeast,66.0,171628.28,-12.905073,-38.684437,Bahia
apartment,Northeast,244.0,187230.85,-12.98223,-38.43898,Bahia
apartment,Northeast,206.0,374461.71,-13.004878,-38.532276,Bahia
apartment,Northeast,195.0,243400.11,-13.002785,-38.519222,Bahia
house,Northeast,110.0,93615.42,-12.852844,-38.32711,Bahia
apartment,Northeast,151.0,143543.65,-12.991933,-38.465279,Bahia
apartment,Northeast,125.0,90463.7,-12.974986,-38.490906,Bahia
apartment,Northeast,70.0,74892.34,-13.000443,-38.45739,Bahia
apartment,Northeast,184.0,374461.71,-12.993533,-38.526047,Bahia
apartment,Northeast,106.0,118579.54,-13.009679,-38.486305,Bahia
apartment,Northeast,92.0,82693.62,-13.010818,-38.48336,Bahia
apartment,Northeast,115.0,177869.31,-13.004092,-38.5047,Bahia
apartment,Northeast,78.0,96735.94,-13.010534,-38.485542,Bahia
apartment,Northeast,115.0,115459.02,-12.992462,-38.444553,Bahia
apartment,Northeast,71.0,84253.88,-12.992462,-38.444553,Bahia
apartment,Northeast,59.0,113898.77,-12.992462,-38.444553,Bahia
apartment,Northeast,142.0,115146.97,-12.992462,-38.444553,Bahia
apartment,Northeast,82.0,81133.37,-12.992462,-38.444553,Bahia
house,Northeast,250.0,374461.71,-12.991933,-38.465279,Bahia
apartment,Northeast,95.0,187230.85,-12.991933,-38.465279,Bahia
apartment,Northeast,90.0,184110.34,-13.00525,-38.516327,Bahia
apartment,Northeast,215.0,374461.71,-13.002785,-38.519222,Bahia
apartment,Northeast,54.0,92679.27,-12.985579,-38.470348,Bahia
apartment,Northeast,78.0,134182.11,-12.985591,-38.469273,Bahia
apartment,Northeast,186.0,411471.01,-13.009664,-38.486431,Bahia
apartment,Northeast,220.0,343256.56,-13.009679,-38.486305,Bahia
apartment,Northeast,203.0,265243.71,-13.000443,-38.45739,Bahia
apartment,Northeast,114.0,202833.42,-13.000443,-38.45739,Bahia
apartment,Northeast,180.0,265243.71,-13.000443,-38.45739,Bahia
apartment,Northeast,235.0,165387.25,-13.000443,-38.45739,Bahia
apartment,Northeast,155.0,310491.16,-12.993305,-38.45739,Bahia
apartment,Northeast,155.0,296448.85,-12.993305,-38.45739,Bahia
apartment,Northeast,195.0,452474.56,-12.985207,-38.456074,Bahia
apartment,Northeast,127.0,180989.82,-12.985207,-38.456074,Bahia
apartment,Northeast,128.0,152905.19,-12.985207,-38.456074,Bahia
apartment,Northeast,186.0,234038.56,-12.985207,-38.456074,Bahia
apartment,Northeast,212.0,415028.39,-12.94999,-38.391624,Bahia
apartment,Northeast,98.0,227797.54,-13.004092,-38.5047,Bahia
apartment,Northeast,55.0,140423.14,-13.004092,-38.5047,Bahia
apartment,Northeast,168.0,312051.42,-12.993533,-38.526047,Bahia
apartment,Northeast,180.0,277725.76,-12.964468,-38.417938,Bahia
apartment,Northeast,75.0,85703.4,-12.970389,-38.424129,Bahia
apartment,Northeast,116.0,208450.35,-12.951526,-38.392464,Bahia
apartment,Northeast,143.0,253385.75,-12.951526,-38.392464,Bahia
apartment,Northeast,210.0,327653.99,-12.96049,-38.405239,Bahia
apartment,Northeast,139.0,234038.56,-12.96049,-38.405239,Bahia
apartment,Northeast,75.0,131061.59,-12.983234,-38.443928,Bahia
apartment,Northeast,128.0,234038.56,-12.984901,-38.439594,Bahia
apartment,Northeast,59.0,145790.42,-12.98223,-38.43898,Bahia
apartment,Northeast,70.0,126880.1,-12.981397,-38.441444,Bahia
apartment,Northeast,90.0,131061.59,-13.002345,-38.528343,Bahia
apartment,Northeast,170.0,202833.42,-12.993533,-38.526047,Bahia
apartment,Northeast,230.0,405666.85,-12.993533,-38.526047,Bahia
apartment,Northeast,100.0,227797.54,-12.992472,-38.52298,Bahia
apartment,Northeast,185.0,212194.96,-12.992102,-38.521461,Bahia
apartment,Northeast,67.0,131061.59,-12.982599,-38.499725,Bahia
apartment,Northeast,103.0,186669.16,-12.998506,-38.52309,Bahia
apartment,Northeast,122.0,249641.14,-12.998506,-38.52309,Bahia
apartment,Northeast,230.0,296448.85,-12.998506,-38.52309,Bahia
apartment,Northeast,166.0,187230.85,-12.998506,-38.52309,Bahia
apartment,Northeast,102.0,265243.71,-12.998506,-38.52309,Bahia
apartment,Northeast,164.0,414404.29,-12.998506,-38.52309,Bahia
apartment,Northeast,120.0,98296.19,-12.998506,-38.52309,Bahia
apartment,Northeast,89.0,160706.48,-12.970966,-38.436806,Bahia
apartment,Northeast,109.0,146664.17,-12.968704,-38.435516,Bahia
apartment,Northeast,71.0,106097.48,-12.993493,-38.477962,Bahia
apartment,Northeast,100.0,109217.99,-12.993493,-38.477962,Bahia
apartment,Northeast,100.0,146664.17,-12.99183,-38.477451,Bahia
apartment,Northeast,156.0,390064.28,-13.002883,-38.486099,Bahia
apartment,Northeast,140.0,234038.56,-12.994513,-38.479004,Bahia
house,Northeast,73.0,81133.37,-12.852844,-38.32711,Bahia
apartment,Northeast,71.0,81133.37,-12.852844,-38.32711,Bahia
apartment,Northeast,71.0,78012.85,-12.852844,-38.32711,Bahia
apartment,Northeast,143.0,296448.85,-12.941992,-38.403465,Bahia
apartment,Northeast,158.0,180989.82,-12.941992,-38.403465,Bahia
apartment,Northeast,75.0,77388.75,-12.999527,-38.46265,Bahia
apartment,Northeast,128.0,235843.06,-12.98223,-38.43898,Bahia
house,Northeast,156.0,193471.88,-12.852844,-38.32711,Bahia
house,Northeast,170.0,171628.28,-12.852844,-38.32711,Bahia
apartment,Northeast,136.0,109217.99,-12.852844,-38.32711,Bahia
apartment,Northeast,68.0,101416.71,-12.98516,-38.482758,Bahia
apartment,Northeast,71.0,121700.05,-13.001169,-38.49419,Bahia
apartment,Northeast,165.0,343256.56,-12.993305,-38.45739,Bahia
apartment,Northeast,71.0,170068.02,-13.004092,-38.5047,Bahia
apartment,Northeast,72.0,118579.54,-12.983234,-38.443928,Bahia
apartment,Northeast,83.0,132621.85,-12.937969,-38.381538,Bahia
apartment,Northeast,67.0,99856.45,-12.937969,-38.381538,Bahia
apartment,Northeast,70.0,102976.97,-12.974941,-38.440117,Bahia
apartment,Northeast,67.0,102976.97,-12.931565,-38.40873,Bahia
apartment,Northeast,156.0,321412.96,-13.002883,-38.486099,Bahia
apartment,Northeast,54.0,93615.42,-12.941992,-38.403465,Bahia
apartment,Northeast,195.0,390064.28,-12.950598,-38.40873,Bahia
apartment,Northeast,142.0,262123.19,-12.950598,-38.40873,Bahia
apartment,Northeast,137.0,196592.39,-12.941992,-38.403465,Bahia
apartment,Northeast,128.0,152905.19,-12.985207,-38.456074,Bahia
apartment,Northeast,111.0,174748.79,-12.985207,-38.456074,Bahia
house,Northeast,120.0,121700.05,-12.852844,-38.32711,Bahia
apartment,Northeast,71.0,81133.37,-12.852844,-38.32711,Bahia
apartment,Northeast,186.0,234038.56,-12.985207,-38.456074,Bahia
apartment,Northeast,186.0,411471.01,-13.009664,-38.486431,Bahia
apartment,Northeast,128.0,234038.56,-12.984901,-38.439594,Bahia
apartment,Northeast,122.0,249641.14,-12.998506,-38.52309,Bahia
apartment,Northeast,59.0,145790.42,-12.98223,-38.43898,Bahia
apartment,Northeast,140.0,234038.56,-12.994513,-38.479004,Bahia
apartment,Northeast,180.0,277725.76,-12.964468,-38.417938,Bahia
apartment,Northeast,210.0,246520.62,-12.993533,-38.526047,Bahia
apartment,Northeast,59.0,113898.77,-12.992462,-38.444553,Bahia
apartment,Northeast,71.0,106097.48,-12.993493,-38.477962,Bahia
apartment,Northeast,55.0,140423.14,-13.004092,-38.5047,Bahia
apartment,Northeast,98.0,174748.79,-12.993305,-38.45739,Bahia
apartment,Northeast,127.0,180989.82,-12.985207,-38.456074,Bahia
apartment,Northeast,235.0,165387.25,-13.000443,-38.45739,Bahia
apartment,Northeast,195.0,452474.56,-12.985207,-38.456074,Bahia
apartment,Northeast,170.0,202833.42,-12.993533,-38.526047,Bahia
apartment,Northeast,95.0,187230.85,-12.991933,-38.465279,Bahia
apartment,Northeast,230.0,405666.85,-12.993533,-38.526047,Bahia
apartment,Northeast,185.0,212194.96,-12.992102,-38.521461,Bahia
apartment,Northeast,90.0,184110.34,-13.00525,-38.516327,Bahia
apartment,Northeast,75.0,131061.59,-12.983234,-38.443928,Bahia
apartment,Northeast,166.0,187230.85,-12.998506,-38.52309,Bahia
apartment,Northeast,100.0,227797.54,-12.992472,-38.52298,Bahia
apartment,Northeast,71.0,78012.85,-12.852844,-38.32711,Bahia
house,Northeast,250.0,374461.71,-12.991933,-38.465279,Bahia
apartment,Northeast,158.0,180989.82,-12.941992,-38.403465,Bahia
apartment,Northeast,102.0,265243.71,-12.998506,-38.52309,Bahia
apartment,Northeast,54.0,92679.27,-12.985579,-38.470348,Bahia
apartment,Northeast,128.0,235843.06,-12.98223,-38.43898,Bahia
apartment,Northeast,164.0,414404.29,-12.998506,-38.52309,Bahia
apartment,Northeast,210.0,327653.99,-12.96049,-38.405239,Bahia
apartment,Northeast,139.0,234038.56,-12.96049,-38.405239,Bahia
apartment,Northeast,215.0,374461.71,-13.002785,-38.519222,Bahia
apartment,Northeast,180.0,265243.71,-13.000443,-38.45739,Bahia
apartment,Northeast,212.0,415028.39,-12.94999,-38.391624,Bahia
apartment,Northeast,120.0,98296.19,-12.998506,-38.52309,Bahia
apartment,Northeast,168.0,312051.42,-12.993533,-38.526047,Bahia
apartment,Northeast,142.0,115146.97,-12.992462,-38.444553,Bahia
apartment,Northeast,78.0,134182.11,-12.985591,-38.469273,Bahia
apartment,Northeast,100.0,109217.99,-12.993493,-38.477962,Bahia
apartment,Northeast,198.0,218435.99,-12.985207,-38.456074,Bahia
apartment,Northeast,114.0,202833.42,-13.000443,-38.45739,Bahia
apartment,Northeast,82.0,81133.37,-12.992462,-38.444553,Bahia
apartment,Northeast,203.0,265243.71,-13.000443,-38.45739,Bahia
apartment,Northeast,90.0,131061.59,-13.002345,-38.528343,Bahia
apartment,Northeast,75.0,85703.4,-12.970389,-38.424129,Bahia
apartment,Northeast,67.0,131061.59,-12.982599,-38.499725,Bahia
apartment,Northeast,156.0,390064.28,-13.002883,-38.486099,Bahia
apartment,Northeast,116.0,208450.35,-12.951526,-38.392464,Bahia
apartment,Northeast,143.0,253385.75,-12.951526,-38.392464,Bahia
apartment,Northeast,109.0,146664.17,-12.968704,-38.435516,Bahia
apartment,Northeast,155.0,310491.16,-12.993305,-38.45739,Bahia
apartment,Northeast,71.0,84253.88,-12.992462,-38.444553,Bahia
apartment,Northeast,100.0,146664.17,-12.99183,-38.477451,Bahia
apartment,Northeast,103.0,186669.16,-12.998506,-38.52309,Bahia
apartment,Northeast,89.0,160706.48,-12.970966,-38.436806,Bahia
apartment,Northeast,143.0,296448.85,-12.941992,-38.403465,Bahia
apartment,Northeast,75.0,77388.75,-12.999527,-38.46265,Bahia
house,Northeast,170.0,93615.42,-12.930742,-38.365299,Bahia
apartment,Northeast,230.0,464956.62,-13.002785,-38.519222,Bahia
apartment,Northeast,73.0,104537.22,-12.985207,-38.456074,Bahia
apartment,Northeast,200.0,187230.85,-12.958966,-38.405651,Bahia
apartment,Northeast,74.0,101416.71,-12.852844,-38.32711,Bahia
apartment,Northeast,142.0,274605.25,-12.950598,-38.40873,Bahia
apartment,Northeast,77.0,109217.99,-13.001876,-38.501404,Bahia
apartment,Northeast,200.0,187230.85,-12.958966,-38.405651,Bahia
apartment,Northeast,210.0,238719.34,-13.000443,-38.45739,Bahia
apartment,Northeast,105.0,136490.6,-12.998506,-38.52309,Bahia
apartment,Northeast,210.0,238719.34,-13.000443,-38.45739,Bahia
apartment,Northeast,105.0,136490.6,-12.998506,-38.52309,Bahia
apartment,Northeast,186.0,405666.85,-13.009664,-38.486431,Bahia
apartment,Northeast,128.0,140423.14,-13.002345,-38.528343,Bahia
apartment,Northeast,139.0,249641.14,-12.993305,-38.45739,Bahia
apartment,Northeast,182.0,436871.99,-13.004878,-38.532276,Bahia
apartment,Northeast,139.0,249641.14,-12.993305,-38.45739,Bahia
apartment,Northeast,182.0,436871.99,-13.004878,-38.532276,Bahia
apartment,Northeast,204.0,452474.56,-13.002883,-38.486099,Bahia
apartment,Northeast,204.0,468077.13,-13.002883,-38.486099,Bahia
apartment,Northeast,82.0,131061.59,-12.990577,-38.510612,Bahia
apartment,Northeast,82.0,131061.59,-12.990577,-38.510612,Bahia
apartment,Northeast,110.0,93615.42,-12.992462,-38.444553,Bahia
apartment,Northeast,106.0,185670.59,-12.9371316,-38.3556842,Bahia
apartment,Northeast,63.0,109217.99,-12.974083,-38.431091,Bahia
apartment,Northeast,110.0,93615.42,-12.992462,-38.444553,Bahia
apartment,Northeast,106.0,185670.59,-12.9371316,-38.3556842,Bahia
apartment,Northeast,63.0,109217.99,-12.974083,-38.431091,Bahia
apartment,Northeast,67.0,112338.51,-12.971625,-38.486305,Bahia
apartment,Northeast,88.0,121700.05,-12.985591,-38.469273,Bahia
apartment,Northeast,88.0,121700.05,-12.985591,-38.469273,Bahia
apartment,Northeast,133.0,199182.42,-12.952238,-38.395287,Bahia
apartment,Northeast,67.0,106097.48,-12.937969,-38.381538,Bahia
apartment,Northeast,82.0,127941.08,-12.937969,-38.381538,Bahia
apartment,Northeast,67.0,106097.48,-12.937969,-38.381538,Bahia
apartment,Northeast,110.0,215315.48,-12.993305,-38.45739,Bahia
apartment,Northeast,112.0,196592.39,-12.993533,-38.526047,Bahia
apartment,Northeast,53.0,90800.72,-12.985591,-38.469273,Bahia
apartment,Northeast,60.0,96735.94,-13.007857,-38.498463,Bahia
house,Northeast,200.0,249641.14,-12.968771,-38.42057,Bahia
apartment,Northeast,79.0,156457.9,-12.98223,-38.43898,Bahia
apartment,Northeast,103.0,252888.97,-12.998506,-38.52309,Bahia
apartment,Northeast,90.0,158740.56,-12.970966,-38.436806,Bahia
apartment,Northeast,84.0,146664.17,-13.000443,-38.45739,Bahia
apartment,Northeast,59.0,130749.54,-13.000164,-38.489021,Bahia
apartment,Northeast,97.0,193471.88,-13.000443,-38.45739,Bahia
apartment,Northeast,110.0,152905.19,-12.983924,-38.450443,Bahia
apartment,Northeast,84.0,146664.17,-13.000443,-38.45739,Bahia
apartment,Northeast,59.0,130749.54,-13.000164,-38.489021,Bahia
apartment,Northeast,115.0,288335.51,-13.000164,-38.489021,Bahia
apartment,Northeast,113.0,101416.71,-14.827576,-39.029541,Bahia
apartment,Northeast,109.0,160706.48,-14.801797,-39.041534,Bahia
apartment,Northeast,112.0,90494.91,-14.859674,-40.820404,Bahia
house,Northeast,190.0,106097.48,-14.841515,-39.02878,Bahia
house,Northeast,130.0,84253.88,-12.147748,-44.995347,Bahia
house,Northeast,80.0,468077.13,-12.973864,-38.466591,Bahia
apartment,Northeast,70.0,133462.52,-12.965071,-38.435036,Bahia
apartment,Northeast,65.0,102641.2,-12.938337,-38.362667,Bahia
apartment,Northeast,67.0,86296.26,-12.149824,-44.992315,Bahia
house,Northeast,145.0,78012.85,-12.146704,-45.009677,Bahia
house,Northeast,96.0,202833.42,-16.444413,-39.065332,Bahia
apartment,Northeast,86.0,132683.01,-14.78655,-39.03495,Bahia
house,Northeast,110.0,109217.99,-14.834512,-39.026514,Bahia
apartment,Northeast,75.0,76452.59,-14.844938,-39.026431,Bahia
apartment,Northeast,113.0,102581.9,-14.827576,-39.029541,Bahia
house,Northeast,114.0,95487.73,-14.841484,-39.028789,Bahia
apartment,Northeast,58.0,91811.77,-14.816835,-39.025423,Bahia
apartment,Northeast,132.0,78012.85,-12.139819,-45.012824,Bahia
apartment,Northeast,84.0,122636.21,-14.78619,-39.03628,Bahia
house,Northeast,110.0,90494.91,-12.15477,-45.0016,Bahia
apartment,Northeast,96.0,87374.39,-12.144439,-44.996502,Bahia
house,Northeast,182.0,109217.99,-14.841515,-39.02878,Bahia
house,Northeast,136.0,101416.71,-14.841515,-39.02878,Bahia
apartment,Northeast,194.0,102976.97,-12.149369,-44.990957,Bahia
apartment,Northeast,220.0,405666.85,-13.009679,-38.486305,Bahia
apartment,Northeast,220.0,405666.85,-13.009679,-38.486305,Bahia
apartment,Northeast,142.0,343256.56,-12.950598,-38.40873,Bahia
apartment,Northeast,108.0,168507.77,-12.993305,-38.45739,Bahia
apartment,Northeast,108.0,168507.77,-12.993305,-38.45739,Bahia
apartment,Northeast,74.0,102976.97,-12.990577,-38.510612,Bahia
apartment,Northeast,140.0,140423.14,-13.009875,-38.481541,Bahia
apartment,Northeast,94.0,165387.25,-12.970382,-38.512382,Bahia
apartment,Northeast,67.0,140423.14,-12.985207,-38.456074,Bahia
apartment,Northeast,140.0,140423.14,-13.009875,-38.481541,Bahia
apartment,Northeast,60.0,117647.44,-12.993782,-38.492218,Bahia
apartment,Northeast,110.0,126968.0,-12.971756,-38.438103,Bahia
apartment,Northeast,105.0,218435.99,-12.993305,-38.45739,Bahia
apartment,Northeast,110.0,126968.0,-12.971756,-38.438103,Bahia
apartment,Northeast,105.0,218435.99,-12.993305,-38.45739,Bahia
apartment,Northeast,115.0,143543.65,-13.000443,-38.45739,Bahia
apartment,Northeast,115.0,143543.65,-13.000443,-38.45739,Bahia
apartment,Northeast,65.0,86219.8,-14.840205,-39.031994,Bahia
apartment,Northeast,74.0,109998.12,-14.805622,-39.037059,Bahia
apartment,Northeast,115.0,196592.39,-13.009623,-38.514156,Bahia
apartment,Northeast,110.0,131061.59,-12.983924,-38.450443,Bahia
apartment,Northeast,57.0,98296.19,-12.957254,-38.429649,Bahia
house,Northeast,182.0,102976.97,-14.841515,-39.02878,Bahia
apartment,Northeast,243.0,452474.56,-12.950598,-38.40873,Bahia
house,Northeast,115.0,93615.42,-14.841484,-39.028789,Bahia
house,Northeast,115.0,93615.42,-14.841484,-39.028789,Bahia
house,Northeast,159.0,109217.99,-14.841484,-39.028789,Bahia
house,Northeast,120.0,202833.42,-12.94748,-38.365459,Bahia
apartment,Northeast,58.0,76452.59,-12.939807,-38.367931,Bahia
apartment,Northeast,92.0,165387.25,-13.001169,-38.49419,Bahia
apartment,Northeast,77.0,140423.14,-12.990577,-38.510612,Bahia
apartment,Northeast,145.0,191131.49,-13.000443,-38.45739,Bahia
apartment,Northeast,90.0,99856.45,-12.9371316,-38.3556842,Bahia
apartment,Northeast,180.0,143543.65,-14.837616,-39.028094,Bahia
apartment,Northeast,203.0,265243.71,-13.000443,-38.45739,Bahia
apartment,Northeast,75.0,118579.54,-12.981397,-38.441444,Bahia
house,Northeast,110.0,218435.99,-12.852844,-38.32711,Bahia
apartment,Northeast,140.0,230918.05,-12.9429024,-38.3982041,Bahia
apartment,Northeast,210.0,343256.56,-12.9429024,-38.3982041,Bahia
apartment,Northeast,133.0,176777.13,-12.9994819,-38.4560755,Bahia
apartment,Northeast,130.0,112338.51,-12.9808155,-38.5086421,Bahia
apartment,Northeast,134.0,316732.19,-12.992472,-38.52298,Bahia
apartment,Northeast,120.0,186294.7,-12.9890124,-38.4392045,Bahia
apartment,Northeast,93.0,145103.91,-12.9994819,-38.4560755,Bahia
apartment,Northeast,70.0,123260.31,-13.0002554,-38.5188762,Bahia
apartment,Northeast,112.0,237159.08,-12.950598,-38.40873,Bahia
apartment,Northeast,168.0,343256.56,-12.9930033,-38.5247961,Bahia
